categoria,nombre,marca,precio,imagen_url
aceites,"Motul 5000 Aceite Semisintético
 para Motor 4 Tiempos 20W50, 1 L",MOTUL,287.00,https://m.media-amazon.com/images/I/516hrUhS78L._AC_SY450_.jpg
aceites,Motul Aceite 100% Sintetico 20W50 4T 7100,MOTUL,365.00,https://m.media-amazon.com/images/I/61JRS5S9iqL._AC_SY450_.jpg
aceites,ACEITE MOTUL MOTO SINTETICO 7100 4 TIEMPOS 10W40 1LT,MOTUL,343.00,https://m.media-amazon.com/images/I/61qo62fcjiL._AC_SY300_SX300_QL70_ML2_.jpg
aceites,Motul - OIL 4T 5100 10W40 TECHNOSYNTESE 1L,MOTUL,318.00,https://m.media-amazon.com/images/I/61MnWjkJASL._AC_SY450_.jpg
aceites,Aceite de Motor Motul 20W50 Mineral 3000,MOTUL,250.00,https://mundimotos.com.mx/cdn/shop/files/EMOT-20W50-M-3000_1.png?v=1781098161&width=600
aceites,Motul 710 2T Premezcla sintética completa de aceite de 2 tiempos 4 litros,MOTUL,2193.00,https://m.media-amazon.com/images/I/81SvDbAKz8L._AC_SY300_SX300_QL70_ML2_.jpg
aceites,Aceite Repsol para Moto Motocicleta 4T 1L 10W40 Racing Sintético 10W-40 1L Bidón,REPSOL,435.00,https://i5.walmartimages.com/asr/dc91b8e0-928f-4498-87f1-323e2102f7ec.c2dbade3226a9db78254d932a6d06238.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF
aceites,Aceite REPSOL MINERAL 20w50 4 Tiempos,REPSOL,189.00,https://http2.mlstatic.com/D_NQ_NP_2X_770743-MLA106138632756_022026-F.webp
aceites,Aceite para motocicletas 4T QUAKER STATE POWER RIDER 20W-50 MA2 SN 946 ML,CASTROL,160.00,https://m.media-amazon.com/images/I/71yrw1IuV6L._AC_SY450_.jpg
aceites,Aceite Bajaj Gulf Mineral 20w50 1.2,BAJAJ,257.00,https://http2.mlstatic.com/D_NQ_NP_2X_622813-MLA108248715220_032026-F.webp
aceites,Aceite para motor Bardahl mineral 20W-50 para moto/cuatriciclo x 946mL,BARDAL,127.00,https://http2.mlstatic.com/D_NQ_NP_2X_998066-MLA99414585174_112025-F.webp
bujias,Bujia BPMR6A NGK,NGK,55.00,https://storage.googleapis.com/bcx-imagenes/Items2/0209720022.webp
bujias,Bujia C7HSA DS150 WS150 WS175 D125 TERRA 170 RUDA 170 NS 160 Benotto,BENOTTO,20.00,https://storage.googleapis.com/bcx-imagenes/Items2/0209710035.webp
bujias,Bujia CPR8EA - 9 Triple electrodo Leiruki,LEIRUKI,25.00,https://storage.googleapis.com/bcx-imagenes/Items2/0209720057.webp
bujias,Bujia CR9E Triple electrodo para motocicleta Leiruki,LEIRUKI,30.00,https://storage.googleapis.com/bcx-imagenes/Items2/0209720061.webp
bujias,Bujia NGK ILKR7B8 Pulsar N200,NGK,570.00,https://storage.googleapis.com/bcx-imagenes/Items2/0209710019.webp
amortiguadores,Monoshock Amortiguador Para Moto N250 N160 Calidad Alta Rojo,BSM,858.00,https://http2.mlstatic.com/D_NQ_NP_2X_888082-MLM109930092409_042026-F.webp
amortiguadores,Amortiguador Monoshock Bajaj Original Pulsar Ns 160 Rs200 As,GTRG,2239.00,https://http2.mlstatic.com/D_NQ_NP_2X_680282-MLM94726155011_102025-F.webp
